quote_id,symbol_id,date_id,time_id,exchange_id,bid_price,ask_price,bid_size,ask_size,spread,mid_price,event_ts
613,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.02798,2.2691,0.00999999999476131,66301.715,2026-03-31 02:24:08.231000
614,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.02798,2.41827,0.00999999999476131,66301.715,2026-03-31 02:24:08.231000
615,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.02798,2.56899,0.00999999999476131,66301.715,2026-03-31 02:24:08.231000
616,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.02806,2.56899,0.00999999999476131,66301.715,2026-03-31 02:24:08.232000
617,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.02814,2.56899,0.00999999999476131,66301.715,2026-03-31 02:24:08.232000
618,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.02822,2.56899,0.00999999999476131,66301.715,2026-03-31 02:24:08.232000
619,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.0283,2.56899,0.00999999999476131,66301.715,2026-03-31 02:24:08.232000
620,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.02838,2.56899,0.00999999999476131,66301.715,2026-03-31 02:24:08.232000
621,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.02846,2.56899,0.00999999999476131,66301.715,2026-03-31 02:24:08.232000
622,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.02846,2.56907,0.00999999999476131,66301.715,2026-03-31 02:24:08.233000
623,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.02846,2.45399,0.00999999999476131,66301.715,2026-03-31 02:24:08.233000
624,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.02854,2.45399,0.00999999999476131,66301.715,2026-03-31 02:24:08.233000
625,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.02854,2.33999,0.00999999999476131,66301.715,2026-03-31 02:24:08.233000
626,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.02862,2.33999,0.00999999999476131,66301.715,2026-03-31 02:24:08.233000
627,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.02862,2.34007,0.00999999999476131,66301.715,2026-03-31 02:24:08.233000
628,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.0287,2.34007,0.00999999999476131,66301.715,2026-03-31 02:24:08.234000
629,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.02878,2.34007,0.00999999999476131,66301.715,2026-03-31 02:24:08.234000
630,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.02886,2.34007,0.00999999999476131,66301.715,2026-03-31 02:24:08.234000
631,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.02886,2.34308,0.00999999999476131,66301.715,2026-03-31 02:24:08.234000
632,BINANCE:BTCUSDT,20260331,22408,BINANCE,66301.71,66301.72,0.02886,2.34324,0.00999999999476131,66301.715,2026-03-31 02:24:08.234000
